Model,Accuracy,F1 Weighted,AUC-ROC (OvR),CV F1 Mean,CV F1 Std
Voting Ensemble (top 3),0.915,0.9147331619023813,0.9876636848609606,,
Logistic Regression,0.9183333333333333,0.9186055342723546,0.9873296525685051,0.9131802298616145,0.010060192104224801
Neural Network (MLP),0.92,0.9200311214661739,0.9872984148357175,0.901908492320484,0.007384153273475494
SVM (RBF),0.9125,0.9119968530355349,0.9863237661961554,0.9017543712682263,0.013212389420646767
Stacking Ensemble,0.9133333333333333,0.9126004201463498,0.9861156408185485,,
Gradient Boosting,0.9058333333333334,0.9066533637487327,0.9850019935293248,0.9105348935531546,0.009205899075625008
Random Forest,0.9075,0.9069322296562514,0.9846406820060353,0.9015971663519509,0.012357062422464716
XGBoost,0.9066666666666666,0.9068610279985455,0.9842982145953086,0.9064494329287068,0.01028633949723117
Voting Ensemble (top 3) (Tuned),0.9108333333333334,0.9104217250667023,0.9840987099759662,0.9032460989654785,
Naive Bayes,0.83,0.8404761183173313,0.9670805363517145,0.8380022672152986,0.01775359041584415
K-Nearest Neighbors,0.8683333333333333,0.8667642964464369,0.9620104973411211,0.8487309764328199,0.010025651230985838
Decision Tree,0.8641666666666666,0.866662932536719,0.9415937341971969,0.875937916972695,0.010316923787139807
